,atom1,atom2,atom3,atom4,phase,per,phi_x,phi_y
0,C6,C5,C4,O1,0.0,3,0.155555556,0.156
1,O5,C1,O1,C4,180.0,1,1.35,1.35
2,O5,C1,O1,C4,180.0,2,0.85,0.85
3,O5,C1,O1,C4,0.0,3,0.1,0.1
4,O5,C5,C4,O1,0.0,2,1.175,1.175
5,O5,C5,C4,O1,0.0,3,0.144,0.144
6,O5,C5,C6,O6,0.0,2,1.175,1.175
7,O5,C5,C6,O6,0.0,3,0.144,0.144
8,C5,C4,O1,C1,180.0,2,0.1,0.1
9,C5,C4,O1,C1,0.0,3,0.383,0.383
10,C4,C5,C6,O6,0.0,3,0.155555556,0.156
11,C4,O1,C1,C2,180.0,2,0.1,0.1
12,C4,O1,C1,C2,0.0,3,0.383,0.383
13,C4,O1,C1,O5,180.0,1,1.35,1.35
14,C4,O1,C1,O5,180.0,2,0.85,0.85
15,C4,O1,C1,O5,0.0,3,0.1,0.1
16,O3,C3,C4,C5,0.0,3,0.155555556,0.156
17,O3,C3,C4,O1,0.0,2,1.175,1.175
18,O3,C3,C4,O1,0.0,3,0.144,0.144
19,C3,C2,C1,O5,0.0,3,0.155555556,0.156
20,C3,C4,C5,O5,0.0,3,0.155555556,0.156
21,C3,C4,C5,C6,180.0,1,0.2,0.2
22,C3,C4,C5,C6,180.0,2,0.25,0.25
23,C3,C4,C5,C6,0.0,3,0.18,0.18
24,C3,C4,O1,C1,180.0,2,0.1,0.1
25,C3,C4,O1,C1,0.0,3,0.383,0.383
26,O2,C2,C1,O5,0.0,2,1.175,1.175
27,O2,C2,C1,O5,0.0,3,0.144,0.144
28,O2,C2,C3,O3,0.0,2,1.175,1.175
29,O2,C2,C3,O3,0.0,3,0.144,0.144
30,O2,C2,C3,C4,0.0,3,0.155555556,0.156
31,C2,C1,O1,C4,180.0,2,0.1,0.1
32,C2,C1,O1,C4,0.0,3,0.383,0.383
33,C2,C1,O5,C5,180.0,2,0.1,0.1
34,C2,C1,O5,C5,0.0,3,0.383,0.383
35,C2,C3,C4,C5,180.0,1,0.2,0.2
36,C2,C3,C4,C5,180.0,2,0.25,0.25
37,C2,C3,C4,C5,0.0,3,0.18,0.18
38,C2,C3,C4,O1,0.0,3,0.155555556,0.156
39,O1,C1,C2,O2,0.0,2,1.175,1.175
40,O1,C1,C2,O2,0.0,3,0.144,0.144
41,O1,C1,C2,C3,0.0,3,0.155555556,0.156
42,O1,C1,O5,C5,180.0,1,1.35,1.35
43,O1,C1,O5,C5,180.0,2,0.85,0.85
44,O1,C1,O5,C5,0.0,3,0.1,0.1
45,O1,C4,C3,C2,0.0,3,0.155555556,0.156
46,O1,C4,C3,O3,0.0,2,1.175,1.175
47,O1,C4,C3,O3,0.0,3,0.144,0.144
48,O1,C4,C5,O5,0.0,2,1.175,1.175
49,O1,C4,C5,O5,0.0,3,0.144,0.144
50,O1,C4,C5,C6,0.0,3,0.155555556,0.156
51,C1,O1,C4,C3,180.0,2,0.1,0.1
52,C1,O1,C4,C3,0.0,3,0.383,0.383
53,C1,O1,C4,C5,180.0,2,0.1,0.1
54,C1,O1,C4,C5,0.0,3,0.383,0.383
55,C1,C2,C3,O3,0.0,3,0.155555556,0.156
56,C1,C2,C3,C4,180.0,1,0.2,0.2
57,C1,C2,C3,C4,180.0,2,0.25,0.25
58,C1,C2,C3,C4,0.0,3,0.18,0.18
59,C1,C2,C3,C4,0.0,3,0.18,0.156
60,C1,O5,C5,C4,180.0,2,0.1,0.1
61,C1,O5,C5,C4,0.0,3,0.383,0.383
62,C1,O5,C5,C6,180.0,2,0.1,0.1
63,C1,O5,C5,C6,0.0,3,0.383,0.383
64,N1,C1,C2,C3,0.0,3,0.155555556,0.18
65,H62,C6,O6,HO6,0.0,3,0.166666667,0.166666667
66,H61,C6,O6,HO6,0.0,3,0.166666667,0.166666667
67,O5,C5,C6,H61,0.0,1,0.25,0.25
68,O5,C5,C6,H61,0.0,3,0.0,0.0
69,O5,C5,C6,H62,0.0,1,0.25,0.25
70,O5,C5,C6,H62,0.0,3,0.0,0.0
71,H5,C5,C4,O1,0.0,1,0.25,0.25
72,H5,C5,C4,O1,0.0,3,0.0,0.0
73,H5,C5,C6,H61,0.0,3,0.155555556,0.15
74,H5,C5,C6,H62,0.0,3,0.155555556,0.15
75,H5,C5,C6,O6,0.0,1,0.25,0.25
76,H5,C5,C6,O6,0.0,3,0.0,0.0
77,C5,C6,O6,HO6,0.0,1,0.25,0.25
78,C5,C6,O6,HO6,0.0,3,0.16,0.16
79,H4,C4,C5,H5,0.0,3,0.155555556,0.15
80,H4,C4,C5,O5,0.0,1,0.25,0.25
81,H4,C4,C5,O5,0.0,3,0.0,0.0
82,H4,C4,C5,C6,0.0,3,0.155555556,0.16
83,H4,C4,O1,C1,0.0,3,0.383333333,0.383333333
84,C4,C5,C6,H61,0.0,3,0.155555556,0.16
85,C4,C5,C6,H62,0.0,3,0.155555556,0.16
86,C4,O1,C1,H1,0.0,3,0.383333333,0.383333333
87,HO3,O3,C3,C4,0.0,1,0.25,0.25
88,HO3,O3,C3,C4,0.0,3,0.16,0.16
89,O3,C3,C4,H4,0.0,1,0.25,0.25
90,O3,C3,C4,H4,0.0,3,0.0,0.0
91,H3,C3,O3,HO3,0.0,3,0.166666667,0.166666667
92,H3,C3,C4,H4,0.0,3,0.155555556,0.15
93,H3,C3,C4,C5,0.0,3,0.155555556,0.16
94,H3,C3,C4,O1,0.0,1,0.25,0.25
95,H3,C3,C4,O1,0.0,3,0.0,0.0
96,C3,C4,C5,H5,0.0,3,0.155555556,0.16
97,HO2,O2,C2,C3,0.0,1,0.25,0.25
98,HO2,O2,C2,C3,0.0,3,0.16,0.16
99,O2,C2,C3,H3,0.0,1,0.25,0.25
100,O2,C2,C3,H3,0.0,3,0.0,0.0
101,H2,C2,C1,O5,0.0,1,0.25,0.25
102,H2,C2,C1,O5,0.0,3,0.0,0.0
103,H2,C2,O2,HO2,0.0,3,0.166666667,0.166666667
104,H2,C2,C3,H3,0.0,3,0.155555556,0.15
105,H2,C2,C3,O3,0.0,1,0.25,0.25
106,H2,C2,C3,O3,0.0,3,0.0,0.0
107,H2,C2,C3,C4,0.0,3,0.155555556,0.16
108,C2,C3,O3,HO3,0.0,1,0.25,0.25
109,C2,C3,O3,HO3,0.0,3,0.16,0.16
110,C2,C3,C4,H4,0.0,3,0.155555556,0.16
111,O1,C1,C2,H2,0.0,1,0.25,0.25
112,O1,C1,C2,H2,0.0,3,0.0,0.0
113,O1,C4,C3,H3,0.0,1,0.25,0.25
114,O1,C4,C3,H3,0.0,3,0.0,0.0
115,O1,C4,C5,H5,0.0,1,0.25,0.25
116,O1,C4,C5,H5,0.0,3,0.0,0.0
117,H1,C1,O1,C4,0.0,3,0.383333333,0.383333333
118,H1,C1,C2,H2,0.0,3,0.155555556,0.15
119,H1,C1,C2,O2,0.0,3,0.155555556,0.0
120,H1,C1,C2,C3,0.0,3,0.155555556,0.16
121,H1,C1,O5,C5,0.0,3,0.383333333,0.383333333
122,C1,O1,C4,H4,0.0,3,0.383333333,0.383333333
123,C1,C2,O2,HO2,0.0,1,0.25,0.25
124,C1,C2,O2,HO2,0.0,3,0.16,0.16
125,C1,C2,C3,H3,0.0,3,0.155555556,0.16
126,C1,O5,C5,H5,0.0,3,0.383333333,0.383333333
127,H8,C3,C4,H9,0.0,3,0.15,0.156
128,H8,C3,C4,H10,0.0,3,0.15,0.156
129,H8,C3,C4,H11,0.0,3,0.15,0.156
130,H7,C3,C4,H9,0.0,3,0.15,0.156
131,H7,C3,C4,H10,0.0,3,0.15,0.156
132,H7,C3,C4,H11,0.0,3,0.15,0.156
133,H6,C2,C3,H7,0.0,3,0.15,0.15
134,H6,C2,C3,H8,0.0,3,0.15,0.15
135,H6,C2,C3,C4,0.0,3,0.16,0.156
136,H5,C2,C3,H7,0.0,3,0.15,0.15
137,H5,C2,C3,H8,0.0,3,0.15,0.15
138,H5,C2,C3,C4,0.0,3,0.16,0.156
139,C2,C3,C4,H9,0.0,3,0.16,0.156
140,C2,C3,C4,H10,0.0,3,0.16,0.156
141,C2,C3,C4,H11,0.0,3,0.16,0.156
142,H4,C1,C2,H5,0.0,3,0.155555556,0.15
143,H4,C1,C2,H6,0.0,3,0.155555556,0.15
144,H4,C1,C2,C3,0.0,3,0.155555556,0.16
145,H3,C1,C2,H5,0.0,3,0.155555556,0.15
146,H3,C1,C2,H6,0.0,3,0.155555556,0.15
147,H3,C1,C2,C3,0.0,3,0.155555556,0.16
148,C1,C2,C3,H7,0.0,3,0.16,0.16
149,C1,C2,C3,H8,0.0,3,0.16,0.16
150,HN11,N1,C1,H3,0.0,3,0.155555556,0.15
151,HN11,N1,C1,H4,0.0,3,0.155555556,0.15
152,HN11,N1,C1,C2,0.0,3,0.155555556,0.16
153,H2,N1,C1,H3,0.0,3,0.155555556,0.15
154,H2,N1,C1,H4,0.0,3,0.155555556,0.15
155,H2,N1,C1,C2,0.0,3,0.155555556,0.16
156,H1,N1,C1,H3,0.0,3,0.155555556,0.15
157,H1,N1,C1,H4,0.0,3,0.155555556,0.15
158,H1,N1,C1,C2,0.0,3,0.155555556,0.16
159,N1,C1,C2,H5,0.0,3,0.155555556,0.16
160,N1,C1,C2,H6,0.0,3,0.155555556,0.16
