,system,bgbg_tip3p_fe,bgbg_tip3p_sem,guest_type,smirnoff_fe,smirnoff_sem,exp_fe,exp_sem
0,a-bam,-0.816365770641088,0.20299677501897193,aliphatic_ammoniums,-3.25832720503292,0.43610064658207254,-1.58,0.02
1,a-but,-1.082174092763618,0.21259969914332513,aliphatic_carboxylates,-1.4782808944636274,0.26716827895959194,-1.51,0.04
2,a-cbu,-0.8821633681895877,0.22070377436604793,cyclic_alcohols,-1.332479531324835,0.18416596368787552,-2.02,0.02
3,a-chp,-1.705767786264753,0.24449829061573874,cyclic_alcohols,-2.3797299219867485,0.28894672399377386,-2.51,0.06
4,a-coc,-1.8413344796454167,0.25187853044832725,cyclic_alcohols,-1.785875427113605,0.290034590871074,-3.23,1.14
5,a-cpe,-1.490338351770156,0.2796603487239881,cyclic_alcohols,-1.586639382541648,0.25616312321247575,-2.13,0.02
6,a-ham,-2.65435929344772,0.17434617814409112,aliphatic_ammoniums,-3.7197365245045297,0.4042992873265815,-3.53,0.0
7,a-hep,-3.9100916154879393,0.1998609894207815,aliphatic_carboxylates,-3.9498606422926885,0.20104054269068217,-3.99,0.01
8,a-hex,-2.9241509139213315,0.20622203823896684,aliphatic_carboxylates,-2.708866622742108,0.20797443356843182,-3.38,0.01
9,a-hp6,-3.3736403638603734,0.1780971838532002,aliphatic_carboxylates,-3.320335045664815,0.22645799707094036,-3.6,0.0
10,a-hpa,-3.5422793536687642,0.1762046511556104,aliphatic_ammoniums,-4.076074139049682,0.6956296227485654,-4.14,0.0
11,a-hx2,-2.592193641220617,0.18574772394658018,aliphatic_carboxylates,-2.7431932795267557,0.19722380382625745,-3.34,0.01
12,a-hx3,-1.694108427218999,0.2035864929238087,aliphatic_carboxylates,-2.441215049666297,0.23131843707105856,-3.01,0.01
13,a-mba,-0.8864276947608496,0.23754311769453695,aliphatic_ammoniums,-1.2159969138998306,0.29895113158454373,-1.76,0.02
14,a-mha,-2.8986911476699024,0.17624060255212104,aliphatic_ammoniums,-3.589816314010473,0.29737913563122004,-3.6,0.0
15,a-mhp,-3.814961913878354,0.18768725263053174,aliphatic_ammoniums,-3.9870572057051747,0.28767297589744567,-4.17,0.0
16,a-nmb,-0.8345203879908506,0.18414638629475022,aliphatic_ammoniums,-1.9390934983915062,0.4109746560684064,-1.69,0.02
17,a-nmh,-2.9152463607482813,0.17798575983359247,aliphatic_ammoniums,-4.140269062102627,0.5888282812053823,-3.52,0.01
18,a-oam,-4.3238146684547045,0.1729260564497842,aliphatic_ammoniums,-4.677096345608592,0.4874990561347086,-4.61,0.01
19,a-oct,-4.847785793219158,0.24436872132167137,aliphatic_carboxylates,-4.622892644954595,0.29540989916724075,-4.62,0.02
20,a-pam,-1.5215717233913728,0.18046982992260563,aliphatic_ammoniums,-2.6346066741378307,0.7667435789540589,-2.72,0.0
21,a-pnt,-1.738512890031027,0.19382304000751088,aliphatic_carboxylates,-2.5533936603465506,0.23118491873280753,-2.6,0.01
22,b-ben,-1.8257621765499117,0.31098081642301006,aliphatic_carboxylates,-1.9805303608305649,0.2298020771016,-1.64,0.02
23,b-cbu,-1.6488308596271544,0.35266027519883814,cyclic_alcohols,-1.8740002463076453,0.19747359544497065,-1.55,0.17
24,b-chp,-3.2744844470115666,0.2519183191267126,cyclic_alcohols,-3.31342369171682,0.21098846357006693,-4.56,0.01
25,b-coc,-3.7110519481218525,0.26441761621622895,cyclic_alcohols,-3.7618729824471684,0.2771383832330699,-4.97,0.04
26,b-cpe,-2.4026421071773263,0.27020817486870485,cyclic_alcohols,-2.355277113422303,0.19592300723049988,-3.05,0.01
27,b-ham,-1.678591432684004,0.2924101053835524,aliphatic_ammoniums,-2.3430329626577904,0.23374529288640236,-2.49,0.08
28,b-hep,-3.4003811653035667,0.32312248464948046,aliphatic_carboxylates,-3.4907869211359026,0.25733785670257187,-3.39,0.18
29,b-hex,-2.4772556821199903,0.2776800097924777,aliphatic_carboxylates,-2.9350358572687254,0.24712575427391134,-2.28,0.03
30,b-m4c,-2.82115142927896,0.26273357598396696,cyclic_alcohols,-3.229325795573662,0.1930152845457148,-4.32,0.01
31,b-m4t,-3.4950251657447624,0.2667770799405867,cyclic_alcohols,-3.8047730992323094,0.1854553824844888,-4.54,0.01
32,b-mch,-2.889941590638901,0.29371482260414805,cyclic_alcohols,-3.6921525051298896,0.22847429400487393,-4.18,0.01
33,b-mha,-1.6794126231826398,0.27236867908602563,aliphatic_ammoniums,-2.708490093707216,0.2321019234975392,-2.56,0.07
34,b-mo3,-2.8219011561598917,0.3739730535193991,aliphatic_carboxylates,-2.9518928080093785,0.368845517749331,-2.16,0.01
35,b-mo4,-3.092475235415118,0.3219525726460126,aliphatic_carboxylates,-4.195885779982931,0.40389430503798646,-2.51,0.01
36,b-mp3,-2.2104310712351296,0.31499785161348837,aliphatic_carboxylates,-2.9725363257757036,0.3089914787655408,-1.46,0.04
37,b-mp4,-2.7938863295263388,0.33769043567051743,aliphatic_carboxylates,-2.8972313379969346,0.3379671195353702,-2.19,0.01
38,b-oam,-2.7526302795254414,0.2712907072674185,aliphatic_ammoniums,-3.565171362589863,0.22311266228154575,-3.59,0.12
39,b-pb3,-2.813046137138363,0.29410925902831103,aliphatic_carboxylates,-3.2729617248996137,0.37991063057115515,-3.52,0.01
40,b-pb4,-3.349054614751603,0.35965871153980894,aliphatic_carboxylates,-3.6980689543107386,0.3152827096480521,-3.6,0.02
41,b-pha,-2.317844923157121,0.341545206110399,aliphatic_carboxylates,-3.0116102100305997,0.4070753872597677,-1.7,0.05
42,b-pnt,-1.7300241358907178,0.28126908408442547,aliphatic_carboxylates,-2.0974144887258217,0.24756850495188637,-1.27,0.32
